first.name,gender,conf,num.samples
vipsavers,None,0.0,0.0
virawan,None,0.0,0.0
virginia,female,1.00,797.0
vivian,female,0.96,652.0
vladi,male,1.00,7.0
vladimir,male,1.00,299.0
wade,male,1.00,157.0
walt,male,1.00,50.0
walter,male,1.00,864.0
wanda,female,0.99,333.0
wayne,male,1.00,1014.0
webb,male,1.00,4.0
wendi,female,0.92,65.0
wendy,female,0.99,1964.0
wes,male,1.00,205.0
wgphou,None,0.0,0.0
will,male,0.99,1169.0
william,male,1.00,2626.0
willie,male,0.95,165.0
willis,male,0.88,25.0
wilson,male,0.99,544.0
winston,male,0.98,128.0
wise,male,1.00,13.0
wsj,None,0.0,0.0
xochitl-alexis,None,0.0,0.0
yan,male,0.51,203.0
yana,female,0.91,102.0
yannis,male,0.86,43.0
yao,male,0.83,54.0
yevgeny,male,1.00,1.0
yolanda,female,1.00,670.0
yvan,male,0.98,43.0
yvette,female,1.00,277.0
zakiyyah,female,1.00,3.0
zarin,female,0.67,3.0
zelda,female,1.00,30.0
zhiyong,male,1.00,9.0
zhiyun,None,0.0,0.0
zimin,male,1.00,1.0
zionette,None,0.0,0.0
