first.name,gender,conf,num.samples
laird,male,1.00,6.0
lamar,male,0.67,36.0
lana,female,0.99,277.0
lance,male,0.98,382.0
lane,male,0.64,86.0
lara,female,1.00,561.0
larry,male,1.00,972.0
laura,female,1.00,7953.0
laurel,female,1.00,166.0
lauri,female,0.69,114.0
laurie,female,0.94,906.0
laynie,None,0.0,0.0
leaf,male,1.00,1.0
leann,female,1.00,85.0
lech,male,1.00,2.0
lee,male,0.75,2089.0
leesa,female,1.00,38.0
legal,None,0.0,0.0
lenine,male,1.00,17.0
lenny,male,0.73,171.0
leonardo,male,1.00,886.0
lerea,None,0.0,0.0
les,male,0.94,137.0
lesli,female,1.00,17.0
leslie,female,0.88,1173.0
lester,male,0.99,128.0
leticia,female,0.99,357.0
